feature1,feature2,feature3
0.9934283060224653,5.993428306022466,-2.1187984101135164
0.9868037333006733,4.614209401326659,-2.2670705419192703
3.802275947849933,5.863104364414389,-8.978215863150075
6.75730523966283,7.0911446846907875,-1.6504509585071863
4.389229991570481,2.8773462823476192,3.664145409108725
5.45957860902637,2.0317260861016395,-6.371160595383976
10.063896690301668,4.70351060288952,5.242413255252963
9.31000188606371,2.0575117746440847,2.4388741054216907
7.584330483150247,-1.4615910882081709,-3.6711666098551894
10.223390611832126,-0.4599648847028075,-0.7076481866892371
8.68372977732661,-3.4268353856249236,7.991609038205166
9.001413000146373,-4.277112538934803,3.6677390675293293
10.584191827414784,-3.561160428742668,0.04391827449073908
6.283706794967121,-8.3942877775286,-1.1884165848049215
6.513036842260822,-8.340573668695093,0.38304535225829806
8.535990104469592,-6.124575058481946,-2.558817789711517
7.182608283991348,-6.916400244337876,-10.523747528595074
9.241773920210697,-3.9392326230224564,10.210889552673654
6.06908427671547,-5.861133122917159,0.7766249959970073
4.210863656616306,-6.1702604344648755,1.9907363256126855
9.00915006076784,0.43129753784310587,-0.2895387493845436
4.57598414004408,-1.996637572847809,-3.67558400362294
4.036301936222629,-0.3875859069624235,-0.9296224047438537
-0.13259750077836108,-2.3268540560886484,-7.996973810971556
0.4045668865926799,0.4563195228243708,11.385432490266522
0.47184517941973336,2.7218451794197325,-6.17255999211198
-3.2953194904876484,1.0436658769496865,-5.159831419235897
-1.465502834957202,4.79648100856608,-2.201296021932002
-4.6025229066843885,3.366449908375395,6.4403786242618875
-5.110924240603707,4.307350504082475,0.07254499631327069
-6.781265747383521,3.796586775541206,-6.180678980152312
-2.8309146902690085,8.595294372686904,6.271691803786697
-7.412126877233762,4.540732838737137,3.6550031339274067
-10.228701112931954,1.9296631139629374,2.692174786082262
-7.06318070045382,4.9907428560006695,3.578671205854202
-11.60225246289358,0.058312700057957745,11.971809502912254
-9.045145317277376,1.9628121618842493,10.925474475180561
-13.529607532042268,-3.3966979314212837,-3.4335767150164767
-12.256639382079577,-3.1790144141351253,8.119424964055762
-9.039150035548639,-1.1513625001364884,1.9158409487945016
-7.633632002960715,-1.0230668400091751,2.495479080688747
-8.295533962280258,-3.0029164694143446,-8.461354158216643
-8.25457581979663,-4.2763815366512175,-0.8519288269409798
-7.877339818936473,-5.16993467939158,-4.0641179516828245
-9.362515040021744,-7.847781984403881,4.140294074466546
-6.867540939714151,-6.4396884167894175,5.355402502014025
-5.278814282936736,-5.812015545588604,-10.372431755081557
-1.0970010744089471,-2.453482835775173,-0.11017432002135225
-1.3196622925116306,-3.3578483927378153,5.60930752397126
-4.289412646368515,-6.871733342519763,-0.9333948115672248
1.1481679387895876,-1.851832061210409,3.645318225011822
0.9931677748104086,-2.315249532707372,1.7558273381354204
1.6530548710366315,-1.876486316950181,1.7083011597631317
5.434598104528518,1.7459948940200039,-1.3565748903414874
7.4195357860090505,3.607084016866637,-6.082904020678548
8.290412761157127,4.362560238232401,-5.607650737125137
5.72703601284161,1.6672179853490146,3.5467625722765863
7.656707676055458,3.426660220172306,0.09729127759441558
9.68580611782728,5.230254151020134,-0.6925612230361238
11.589360778904911,6.841828257913747,-2.119450211611763
9.152216687260953,4.04165152430942,-1.525944227403759
10.061554553959251,4.519420050341395,5.234558972440697
8.387597336270659,2.3550573402009523,-1.6762204093401336
8.217854036121375,1.6526717237133974,-6.705323566507843
12.087924152075283,4.970704676582692,3.7182588777008663
12.873045220093182,5.2124800571416525,-1.024383319323586
9.564250281499525,1.401064728714072,0.15697932766388223
11.1203450508042,2.5297081121223215,8.037891531997552
9.108404477853155,0.20062973375700077,-0.10280278675253593
6.245231550076635,-2.8353244810849834,1.4459183655936267
7.300643733941562,-1.7772087889831671,-5.894617456491627
8.603609873949086,-0.2695798988623528,-1.0983472617548007
4.329593448626877,-4.116737050094638,3.047630226043006
6.346186183276567,-1.43843997658499,-7.776868669206212
-3.2461578725364495,-10.130228211848518,1.0042254655785479
2.3938050087504514,-3.356194991249552,0.5039553632240314
-0.3192381991666893,-4.716643867192687,0.2064372779371969
-2.3149135725802825,-5.165741989144744,5.1857944932912154
-2.717723973775768,-3.861563418803734,1.6721925742426076
-8.002674570218941,-7.320790860996075,7.39035949178222
-5.517196298599752,-2.939343775675032,-4.967947577970181
-5.321245916263386,-0.8308598288512475,0.6796228360917399
-3.929344338274848,2.4331457731447497,0.4223339319497371
-8.649819691567451,-0.513898120209019,-5.346272468775401
